PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2000-09241,2000/08/24,Commercial / Multi Family Project,Building,3109 - Retail Food Store,Commercial,Non-Residential,New,New tent
BP2000-09273,2000/08/24,Commercial / Multi Family Project,Building,3109 - Retail Food Store,Commercial,Non-Residential,New,New Building
BP2000-09277,2000/08/24,Commercial / Multi Family Project,Building,2203 - Tower,Industrial,Non-Residential,New,Install Antenna Tower
BP2000-09318,2000/08/25,Commercial / Multi Family Project,Building,2112 - Feed Grain Mill,Industrial,Non-Residential,New,New Shower/Washroom Facility for Existing Feed Mill
BP2000-09339,2000/08/25,Commercial / Multi Family Project,Building,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,Addition to Existing Office & Manufacturing Building
BP2000-09338,2000/08/25,Commercial / Multi Family Project,Building,3605 - Food Kiosk,Commercial,Non-Residential,New,Interior Partitioning and Use Approval
BP2000-09402,2000/08/30,Commercial / Multi Family Project,Building,2404 - Radio/Tv Tower,Industrial,Non-Residential,New,"Communication tower, antenna and shelter"
BP2000-09457,2000/08/30,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,New office tower
BP2000-09473,2000/08/31,Commercial / Multi Family Project,Building,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,new building
BP2000-09601,2000/09/01,Commercial / Multi Family Project,Building,6306 - Parks,Government,Non-Residential,New,New clock tower
BP2000-09595,2000/09/01,Commercial / Multi Family Project,Building,2299 - Engineer/Manufacture Misc.,Industrial,Non-Residential,New,New industrial building
BP2000-09692,2000/09/06,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,New Commercial Building w/ Dwelling Units
BP2000-09695,2000/09/06,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,Interior Alterations for Office and Reception Area and Use
BP2000-09710,2000/09/07,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Office Warehouse Building
BP2000-09782,2000/09/08,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,3 New Buildings
BP2000-09753,2000/09/08,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Office/Warehouse Building
BP2000-09836,2000/09/11,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,
BP2000-09935,2000/09/13,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Warehouse/Office
BP2000-10001,2000/09/14,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Warehouse/Office Building
BP2000-10057,2000/09/15,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,New Commercial Retail strip mall
BP2000-10048,2000/09/15,Commercial / Multi Family Project,Building,6306 - Parks,Government,Non-Residential,New,Private Park with Public Access - Accessory Use to the Sundance Business Park
BP2000-10087,2000/09/18,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Office Warehouse Building
BP2000-10084,2000/09/18,Commercial / Multi Family Project,Building,2306 - Parking Garage,Industrial,Non-Residential,New,New Highway Equipment Storage shed
BP2000-10071,2000/09/18,Commercial / Multi Family Project,Building,6306 - Parks,Government,Non-Residential,New,New Washroom Facility
BP2000-10395,2000/09/25,Commercial / Multi Family Project,Building,"5111 - School, Separate",Institutional,Non-Residential,New,New school
BP2000-10450,2000/09/26,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,New Commercial Building
BP2000-10543,2000/09/28,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,Building A - Phase 1
BP2000-10705,2000/10/02,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,
BP2000-10692,2000/10/02,Commercial / Multi Family Project,Building,3607 - Hotel/Motel,Commercial,Non-Residential,New,New 77 Unit Hotel
BP2000-10750,2000/10/03,Commercial / Multi Family Project,Building,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,New Warehouse/Office
BP2000-10775,2000/10/03,Commercial / Multi Family Project,Building,3401 - Bank,Commercial,Non-Residential,New,New bank building
BP2000-10801,2000/10/04,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New warehouse / office
BP2000-10803,2000/10/04,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,New Office Building
