PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2006-13116,2006/07/28,Demolition,Demolition,1107 - Semi-Detached (1 Unit),Single Family,Residential,Demolition,
BP2006-19457,2006/11/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-09604,2006/06/07,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-17941,2006/10/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-15763,2007/10/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13060,2006/07/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-17721,2006/10/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-10778,2006/06/26,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-01949,2007/02/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-12004,2006/07/13,Demolition,Demolition,3402 - Office,Commercial,Non-Residential,Demolition,
BP2006-09146,2006/05/30,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-11491,2006/07/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-12455,2006/07/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08460,2006/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-17694,2006/10/16,Demolition,Demolition,3303 - Gas Bar,Commercial,Non-Residential,Demolition,
BP2007-01283,2007/02/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-15634,2006/09/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-06047,2007/05/02,Demolition,Demolition,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,Demolition,
BP2006-20283,2006/12/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-15661,2006/09/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-01400,2007/02/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08471,2006/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-18709,2006/11/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-15783,2006/09/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-17945,2006/10/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-09058,2006/05/30,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08456,2006/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-09607,2006/06/07,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03363,2007/03/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-09409,2006/06/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-12439,2006/07/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-14187,2006/08/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-20501,2006/12/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03962,2007/03/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03562,2007/03/22,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03757,2007/03/26,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2008-07996,2008/06/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-10343,2006/06/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-15755,2006/09/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03948,2007/03/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-02662,2007/03/07,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-18728,2006/11/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-15250,2006/09/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13155,2006/07/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-20469,2006/12/14,Demolition,Demolition,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,Demolition,
BP2007-00420,2007/01/15,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-15081,2006/08/30,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP2007-04383,2007/04/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-05172,2007/04/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03362,2007/03/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-00889,2007/01/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2008-02105,2008/02/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-11395,2006/07/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08469,2006/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-14565,2006/08/23,Demolition,Demolition,1199 -  Accessory Building,Single Family,Residential,Demolition,
BP2007-00949,2007/01/26,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-10258,2006/06/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-15831,2006/09/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08485,2006/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08484,2006/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-12743,2006/07/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-04324,2007/04/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-01106,2007/01/31,Demolition,Demolition,1107 - Semi-Detached (1 Unit),Single Family,Residential,Demolition,
BP2006-17027,2006/10/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-10557,2006/06/22,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-04882,2007/04/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
